track_name,album_name,album_release_year,key_name,mode_name,key_mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Get Back - Rooftop Performance / Take 1,Get Back (Rooftop Performance),2022,D,major,D major,0.628,0.524,-11.84,0.0773,0.325,0.0995,0.195,0.272,124.176,283373
Get Back - Rooftop Performance / Take 2,Get Back (Rooftop Performance),2022,A,major,A major,0.655,0.695,-9.648,0.0381,0.101,0.436,0.105,0.33,125.572,204186
Don't Let Me Down - Rooftop Performance / Take 1,Get Back (Rooftop Performance),2022,F#,minor,F# minor,0.592,0.513,-8.778,0.0322,0.321,1.7e-4,0.182,0.744,81.92,202466
I've Got A Feeling - Rooftop Performance / Take 1,Get Back (Rooftop Performance),2022,D,major,D major,0.392,0.629,-11.235,0.172,0.155,0.00699,0.0847,0.352,165.416,283720
One After 909 - Rooftop Performance,Get Back (Rooftop Performance),2022,E,major,E major,0.521,0.87,-8.985,0.237,0.0254,1.8e-6,0.622,0.723,90.474,189200
Dig A Pony - Rooftop Performance,Get Back (Rooftop Performance),2022,B,minor,B minor,0.49,0.373,-12.993,0.0574,0.454,4.01e-5,0.117,0.346,116.556,352040
God Save The Queen - Rooftop Performance / Jam,Get Back (Rooftop Performance),2022,G,major,G major,0.676,0.389,-9.622,0.0988,0.675,0.192,0.0482,0.898,132.388,25760
I've Got A Feeling - Rooftop Performance / Take 2,Get Back (Rooftop Performance),2022,A,major,A major,0.521,0.532,-11.183,0.0964,0.346,0.00866,0.234,0.313,81.332,335133
Don't Let Me Down - Rooftop Performance / Take 2,Get Back (Rooftop Performance),2022,F#,minor,F# minor,0.548,0.489,-10.463,0.0468,0.272,8.26e-4,0.328,0.605,81.846,209586
Get Back - Rooftop Performance / Take 3,Get Back (Rooftop Performance),2022,D,major,D major,0.617,0.633,-11.507,0.0819,0.0833,0.194,0.116,0.315,126.059,226586
Two Of Us - 2021 Mix,Let It Be (Super Deluxe),2021,G,major,G major,0.692,0.756,-9.677,0.0402,0.0356,8.8e-5,0.219,0.826,109.111,216480
Dig A Pony - 2021 Mix,Let It Be (Super Deluxe),2021,B,minor,B minor,0.461,0.5,-8.023,0.0478,0.183,9.94e-6,0.209,0.393,118.377,234760
Across The Universe - 2021 Mix,Let It Be (Super Deluxe),2021,C#,major,C# major,0.414,0.467,-9.189,0.027,0.552,2.28e-5,0.0779,0.752,76.148,228093
I Me Mine - 2021 Mix,Let It Be (Super Deluxe),2021,E,minor,E minor,0.423,0.587,-8.14,0.0415,0.14,0,0.118,0.575,128.47,145053
Dig It - 2021 Mix,Let It Be (Super Deluxe),2021,F,major,F major,0.519,0.564,-9.868,0.0742,0.452,0.00486,0.273,0.795,155.067,50653
Let It Be - 2021 Mix,Let It Be (Super Deluxe),2021,C,major,C major,0.407,0.413,-8.129,0.0302,0.332,4.49e-6,0.107,0.556,144.338,243173
Maggie Mae - 2021 Mix,Let It Be (Super Deluxe),2021,G,major,G major,0.525,0.627,-8.052,0.237,0.247,0,0.124,0.76,169.081,40213
I've Got A Feeling - 2021 Mix,Let It Be (Super Deluxe),2021,D,major,D major,0.413,0.722,-7.463,0.0468,0.11,6.04e-6,0.151,0.382,165.614,217546
One After 909 - 2021 Mix,Let It Be (Super Deluxe),2021,E,major,E major,0.545,0.956,-5.549,0.116,0.0632,0,0.63,0.776,90.782,174013
The Long And Winding Road - 2021 Mix,Let It Be (Super Deluxe),2021,D#,major,D# major,0.314,0.379,-10.028,0.0271,0.82,0.00202,0.0852,0.319,66.436,217600
For You Blue - 2021 Mix,Let It Be (Super Deluxe),2021,D,major,D major,0.854,0.605,-10.995,0.084,0.349,0.0789,0.274,0.929,128.317,152533
Get Back - 2021 Mix,Let It Be (Super Deluxe),2021,D,major,D major,0.734,0.656,-10.443,0.0789,0.176,0.0029,0.665,0.366,123.091,188266
Morning Camera / Two Of Us - Take 4,Let It Be (Super Deluxe),2021,G,major,G major,0.718,0.671,-10.5,0.047,0.053,6.11e-4,0.352,0.762,107.858,222280
Maggie Mae / Fancy My Chances With You - Mono,Let It Be (Super Deluxe),2021,G,major,G major,0.622,0.544,-7.59,0.071,0.717,0,0.101,0.803,107.59,58400
Can You Dig It?,Let It Be (Super Deluxe),2021,G,major,G major,0.635,0.864,-7.495,0.0833,0.215,6.43e-6,0.362,0.717,141.355,122360
I Don't Know Why I'm Moaning - Speech / Mono,Let It Be (Super Deluxe),2021,D,major,D major,0.582,0.457,-14.507,0.322,0.916,0,0.0771,0.488,113.374,82013
For You Blue - Take 4,Let It Be (Super Deluxe),2021,D,major,D major,0.709,0.809,-9.73,0.099,0.24,0.0222,0.216,0.784,127.789,172946
Let It Be / Please Please Me / Let It Be - Take 10,Let It Be (Super Deluxe),2021,C,major,C major,0.494,0.424,-10.874,0.0646,0.905,4.76e-5,0.132,0.481,142.038,272680
I’ve Got A Feeling - Take 10,Let It Be (Super Deluxe),2021,D,major,D major,0.399,0.622,-7.628,0.0358,0.143,0.00263,0.119,0.306,81.095,217680
Dig A Pony - Take 14,Let It Be (Super Deluxe),2021,B,minor,B minor,0.53,0.399,-8.978,0.0702,0.661,7.58e-6,0.232,0.376,118.441,241440
Get Back - Take 19,Let It Be (Super Deluxe),2021,D,major,D major,0.74,0.619,-10.737,0.0672,0.439,0.0385,0.0634,0.633,121.379,237360
Like Making An Album? - Speech,Let It Be (Super Deluxe),2021,G,major,G major,0.62,0.18,-18.793,0.562,0.789,0,0.134,0.641,71.469,42560
One After 909 - Take 3,Let It Be (Super Deluxe),2021,E,major,E major,0.293,0.891,-7.324,0.19,0.0451,0,0.268,0.706,163.566,207173
Don’t Let Me Down - First Rooftop Performance,Let It Be (Super Deluxe),2021,E,major,E major,0.455,0.502,-7.539,0.0493,0.699,1.56e-4,0.094,0.674,163.347,209453
The Long And Winding Road - Take 19,Let It Be (Super Deluxe),2021,D#,major,D# major,0.516,0.319,-10.031,0.0306,0.868,1.01e-4,0.108,0.237,135.137,227386
Wake Up Little Susie / I Me Mine - Take 11,Let It Be (Super Deluxe),2021,A,minor,A minor,0.409,0.508,-11.582,0.167,0.401,0.314,0.216,0.376,187.098,135760
On The Day Shift Now / All Things Must Pass - Rehearsals / Mono,Let It Be (Super Deluxe),2021,A,major,A major,0.492,0.453,-11.041,0.0591,0.863,0,0.241,0.428,124.606,262226
Concentrate On The Sound - Mono,Let It Be (Super Deluxe),2021,D,major,D major,0.543,0.451,-15.496,0.4,0.977,2.09e-4,0.196,0.467,115.822,67240
Gimme Some Truth - Rehearsal / Mono,Let It Be (Super Deluxe),2021,G,major,G major,0.616,0.319,-11.198,0.139,0.834,2.47e-5,0.357,0.35,79.194,79706
I Me Mine - Rehearsal / Mono,Let It Be (Super Deluxe),2021,E,minor,E minor,0.34,0.536,-9.8,0.0463,0.797,0,0.37,0.673,175.233,95693
She Came In Through The Bathroom Window - Rehearsal,Let It Be (Super Deluxe),2021,D,major,D major,0.531,0.29,-12.716,0.0531,0.713,9.47e-6,0.26,0.336,71.105,170400
Polythene Pam - Rehearsal / Mono,Let It Be (Super Deluxe),2021,E,minor,E minor,0.568,0.57,-10.617,0.341,0.916,8.91e-6,0.147,0.783,157.595,79506
Octopus’s Garden - Rehearsal / Mono,Let It Be (Super Deluxe),2021,C,major,C major,0.406,0.345,-13.399,0.318,0.919,0,0.723,0.411,181.077,110026
Oh! Darling - Jam,Let It Be (Super Deluxe),2021,A,major,A major,0.603,0.471,-8.248,0.0297,0.448,6.56e-6,0.288,0.31,84.359,319400
Get Back - Take 8,Let It Be (Super Deluxe),2021,D,major,D major,0.737,0.672,-9.577,0.0517,0.369,0.0131,0.074,0.367,119.619,232786
The Walk - Jam,Let It Be (Super Deluxe),2021,A,major,A major,0.75,0.67,-8.019,0.0787,0.568,7.29e-5,0.0996,0.662,112.519,55746
Without A Song - Jam,Let It Be (Super Deluxe),2021,A#,major,A# major,0.574,0.396,-9.874,0.0354,0.875,1.29e-4,0.0653,0.428,126.794,120640
Something - Rehearsal / Mono,Let It Be (Super Deluxe),2021,A,major,A major,0.529,0.346,-13.309,0.218,0.893,6.19e-6,0.187,0.288,75.368,84106
Let It Be - Take 28,Let It Be (Super Deluxe),2021,C,major,C major,0.419,0.448,-8.675,0.0647,0.433,9.88e-4,0.209,0.339,140.934,282333
One After 909 - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),2021,E,major,E major,0.494,0.872,-8.006,0.125,0.00752,0,0.292,0.889,90.974,186800
Medley: I’m Ready (aka Rocker) / Save The Last Dance For Me / Don’t Let Me Down - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),2021,F#,minor,F# minor,0.53,0.44,-13.959,0.152,0.75,0.0014,0.164,0.818,114.447,116373
Don't Let Me Down - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),2021,E,major,E major,0.469,0.342,-10.952,0.0752,0.723,4.11e-5,0.264,0.515,154.318,245466
Dig A Pony - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),2021,D,major,D major,0.481,0.314,-10.906,0.0427,0.73,0,0.579,0.416,119.222,253106
I've Got A Feeling - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),2021,D,major,D major,0.502,0.543,-11.7,0.0348,0.708,1.11e-5,0.15,0.635,167.372,173493
Get Back - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),2021,D,major,D major,0.711,0.528,-12.262,0.0382,0.577,0.0495,0.0986,0.296,122.637,193640
For You Blue - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),2021,D,major,D major,0.734,0.516,-13.881,0.0991,0.696,0.0425,0.416,0.823,128.235,174320
Teddy Boy - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),2021,D,major,D major,0.629,0.424,-12.57,0.0457,0.713,0,0.253,0.667,146.242,221640
Two Of Us - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),2021,G,major,G major,0.704,0.514,-14.626,0.0368,0.543,3.31e-6,0.248,0.753,105.038,209693
Maggie Mae - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),2021,C,major,C major,0.453,0.452,-12.153,0.14,0.396,0,0.105,0.585,168.087,38466
Dig It - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),2021,F,major,F major,0.391,0.517,-13.318,0.0735,0.643,2.69e-6,0.424,0.842,155.196,249680
Let It Be - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),2021,C,major,C major,0.409,0.327,-12.454,0.0455,0.924,0.0018600000000000001,0.278,0.416,137.324,249760
The Long And Winding Road - 1969 Glyn Johns Mix,Let It Be (Super Deluxe),2021,D#,major,D# major,0.472,0.297,-13.007,0.0274,0.905,0.0595,0.145,0.295,133.365,219080
Get Back - Reprise / 1969 Glyn Johns Mix,Let It Be (Super Deluxe),2021,D,major,D major,0.76,0.446,-15.214,0.0789,0.853,0.858,0.139,0.939,121.117,40973
Across The Universe - 1970 Glyn Johns Mix,Let It Be (Super Deluxe),2021,D,major,D major,0.322,0.447,-8.016,0.0271,0.569,0,0.306,0.826,162.262,211133
I Me Mine - 1970 Glyn Johns Mix,Let It Be (Super Deluxe),2021,A,minor,A minor,0.382,0.41,-10.362,0.0734,0.711,3.35e-6,0.123,0.408,181.328,105613
